Operator,URL,Operator(URL),RxClojure,RxCpp,RxGroovy,RxJava 1․x,RxJava 2․x,RxJS,RxKotlin,RxNET,RxPHP,RxPY,Rxrb,RxScala,RxSwift
blocking,http://reactivex.io/documentation/operators/to.html,To,BlockingObservable.blocking; interpose; BlockingObservable.into; BlockingObservable.seq; sort; sort-by; sorted-list-by,as_blocking,BlockingObservable.from; BlockingObservable.getIterator; nest; toBlocking; BlockingObservable.toFuture; BlockingObservable.toIterable; toList; toMap; toMultiMap; toSortedList,BlockingObservable.from; BlockingObservable.getIterator; nest; toBlocking; BlockingObservable.toFuture; BlockingObservable.toIterable; toList; toMap; toMultiMap; toSortedList,blockingIterable; blockingLatest; blockingMostRecent; blockingNext; sorted; to; toFuture; toList; toMap; toMultimap; toSortedList,toArray; toMap; toSet,BlockingObservable.from; BlockingObservable.getIterator; toBlocking; BlockingObservable.toFuture; BlockingObservable.toIterable; toList; toMap; toMultiMap; toSortedList,GetEnumerator; ToArray; ToDictionary; ToEnumerable; ToEvent; ToEventPattern; ToList; ToLookup; ToTask,toArray,BlockingObservable.to_iterable; to_array; to_blocking; to_dict; to_future; to_iterable; to_list; to_marbles; to_set,to_a; to_h,nest; to; toArray; toBlocking; toBuffer; BlockingObservable.toFuture; toIndexedSeq; BlockingObservable.toIterable; toIterable; toIterator; BlockingObservable.toList; toList; toMap; toMultiMap; toSet; toStream; toTraversable; toVector,toArray
blockingFirst,http://reactivex.io/documentation/operators/first.html,First,first; single,first,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,blockingFirst; blockingSingle; first; firstElement; single; singleElement; takeFirst,find; findIndex; first; single,first; firstOrDefault; mostRecent; single; singleOrDefault; takeFirst,First; FirstOrDefault; Latest; Next; Single; SingleOrDefault,,first; first_or_default; single; single_or_default,first; first_or_default; single; single_or_default,first; firstOrElse; head; headOption; headOrElse; latest; next; single; singleOption; singleOrElse,single
blockingForEach,http://reactivex.io/documentation/operators/subscribe.html,Subscribe,BlockingObservable.doseq; subscribe,subscribe,BlockingObservable.forEach; forEach; subscribe,BlockingObservable.forEach; forEach; subscribe,blockingForEach; blockingSubscribe; forEachWhile; safeSubscribe; subscribe,forEach; subscribe; subscribeOnCompleted; subscribeOnError; subscribeOnNext,BlockingObservable.forEach; forEach; subscribe,ForEach; Subscribe,subscribe,BlockingObservable.for_each; subscribe,subscribe,BlockingObservable.foreach; forEach; subscribe,subscribe
blockingIterable,http://reactivex.io/documentation/operators/to.html,To,BlockingObservable.blocking; interpose; BlockingObservable.into; BlockingObservable.seq; sort; sort-by; sorted-list-by,as_blocking,BlockingObservable.from; BlockingObservable.getIterator; nest; toBlocking; BlockingObservable.toFuture; BlockingObservable.toIterable; toList; toMap; toMultiMap; toSortedList,BlockingObservable.from; BlockingObservable.getIterator; nest; toBlocking; BlockingObservable.toFuture; BlockingObservable.toIterable; toList; toMap; toMultiMap; toSortedList,blockingIterable; blockingLatest; blockingMostRecent; blockingNext; sorted; to; toFuture; toList; toMap; toMultimap; toSortedList,toArray; toMap; toSet,BlockingObservable.from; BlockingObservable.getIterator; toBlocking; BlockingObservable.toFuture; BlockingObservable.toIterable; toList; toMap; toMultiMap; toSortedList,GetEnumerator; ToArray; ToDictionary; ToEnumerable; ToEvent; ToEventPattern; ToList; ToLookup; ToTask,toArray,BlockingObservable.to_iterable; to_array; to_blocking; to_dict; to_future; to_iterable; to_list; to_marbles; to_set,to_a; to_h,nest; to; toArray; toBlocking; toBuffer; BlockingObservable.toFuture; toIndexedSeq; BlockingObservable.toIterable; toIterable; toIterator; BlockingObservable.toList; toList; toMap; toMultiMap; toSet; toStream; toTraversable; toVector,toArray
blockingLast,http://reactivex.io/documentation/operators/last.html,Last,last,last,last; lastOrDefault,last; lastOrDefault,blockingLast; last; lastElement,last,last; lastOrDefault; takeLast,Last; LastOrDefault,,last; last_or_default,last; last_or_default,last; lastOrElse; head; headOption; headOrElse,
blockingLatest,http://reactivex.io/documentation/operators/to.html,To,BlockingObservable.blocking; interpose; BlockingObservable.into; BlockingObservable.seq; sort; sort-by; sorted-list-by,as_blocking,BlockingObservable.from; BlockingObservable.getIterator; nest; toBlocking; BlockingObservable.toFuture; BlockingObservable.toIterable; toList; toMap; toMultiMap; toSortedList,BlockingObservable.from; BlockingObservable.getIterator; nest; toBlocking; BlockingObservable.toFuture; BlockingObservable.toIterable; toList; toMap; toMultiMap; toSortedList,blockingIterable; blockingLatest; blockingMostRecent; blockingNext; sorted; to; toFuture; toList; toMap; toMultimap; toSortedList,toArray; toMap; toSet,BlockingObservable.from; BlockingObservable.getIterator; toBlocking; BlockingObservable.toFuture; BlockingObservable.toIterable; toList; toMap; toMultiMap; toSortedList,GetEnumerator; ToArray; ToDictionary; ToEnumerable; ToEvent; ToEventPattern; ToList; ToLookup; ToTask,toArray,BlockingObservable.to_iterable; to_array; to_blocking; to_dict; to_future; to_iterable; to_list; to_marbles; to_set,to_a; to_h,nest; to; toArray; toBlocking; toBuffer; BlockingObservable.toFuture; toIndexedSeq; BlockingObservable.toIterable; toIterable; toIterator; BlockingObservable.toList; toList; toMap; toMultiMap; toSet; toStream; toTraversable; toVector,toArray
blockingMostRecent,http://reactivex.io/documentation/operators/to.html,To,BlockingObservable.blocking; interpose; BlockingObservable.into; BlockingObservable.seq; sort; sort-by; sorted-list-by,as_blocking,BlockingObservable.from; BlockingObservable.getIterator; nest; toBlocking; BlockingObservable.toFuture; BlockingObservable.toIterable; toList; toMap; toMultiMap; toSortedList,BlockingObservable.from; BlockingObservable.getIterator; nest; toBlocking; BlockingObservable.toFuture; BlockingObservable.toIterable; toList; toMap; toMultiMap; toSortedList,blockingIterable; blockingLatest; blockingMostRecent; blockingNext; sorted; to; toFuture; toList; toMap; toMultimap; toSortedList,toArray; toMap; toSet,BlockingObservable.from; BlockingObservable.getIterator; toBlocking; BlockingObservable.toFuture; BlockingObservable.toIterable; toList; toMap; toMultiMap; toSortedList,GetEnumerator; ToArray; ToDictionary; ToEnumerable; ToEvent; ToEventPattern; ToList; ToLookup; ToTask,toArray,BlockingObservable.to_iterable; to_array; to_blocking; to_dict; to_future; to_iterable; to_list; to_marbles; to_set,to_a; to_h,nest; to; toArray; toBlocking; toBuffer; BlockingObservable.toFuture; toIndexedSeq; BlockingObservable.toIterable; toIterable; toIterator; BlockingObservable.toList; toList; toMap; toMultiMap; toSet; toStream; toTraversable; toVector,toArray
blockingNext,http://reactivex.io/documentation/operators/to.html,To,BlockingObservable.blocking; interpose; BlockingObservable.into; BlockingObservable.seq; sort; sort-by; sorted-list-by,as_blocking,BlockingObservable.from; BlockingObservable.getIterator; nest; toBlocking; BlockingObservable.toFuture; BlockingObservable.toIterable; toList; toMap; toMultiMap; toSortedList,BlockingObservable.from; BlockingObservable.getIterator; nest; toBlocking; BlockingObservable.toFuture; BlockingObservable.toIterable; toList; toMap; toMultiMap; toSortedList,blockingIterable; blockingLatest; blockingMostRecent; blockingNext; sorted; to; toFuture; toList; toMap; toMultimap; toSortedList,toArray; toMap; toSet,BlockingObservable.from; BlockingObservable.getIterator; toBlocking; BlockingObservable.toFuture; BlockingObservable.toIterable; toList; toMap; toMultiMap; toSortedList,GetEnumerator; ToArray; ToDictionary; ToEnumerable; ToEvent; ToEventPattern; ToList; ToLookup; ToTask,toArray,BlockingObservable.to_iterable; to_array; to_blocking; to_dict; to_future; to_iterable; to_list; to_marbles; to_set,to_a; to_h,nest; to; toArray; toBlocking; toBuffer; BlockingObservable.toFuture; toIndexedSeq; BlockingObservable.toIterable; toIterable; toIterator; BlockingObservable.toList; toList; toMap; toMultiMap; toSet; toStream; toTraversable; toVector,toArray
blockingSingle,http://reactivex.io/documentation/operators/first.html,First,first; single,first,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,blockingFirst; blockingSingle; first; firstElement; single; singleElement; takeFirst,find; findIndex; first; single,first; firstOrDefault; mostRecent; single; singleOrDefault; takeFirst,First; FirstOrDefault; Latest; Next; Single; SingleOrDefault,,first; first_or_default; single; single_or_default,first; first_or_default; single; single_or_default,first; firstOrElse; head; headOption; headOrElse; latest; next; single; singleOption; singleOrElse,single
blockingSubscribe,http://reactivex.io/documentation/operators/subscribe.html,Subscribe,BlockingObservable.doseq; subscribe,subscribe,BlockingObservable.forEach; forEach; subscribe,BlockingObservable.forEach; forEach; subscribe,blockingForEach; blockingSubscribe; forEachWhile; safeSubscribe; subscribe,forEach; subscribe; subscribeOnCompleted; subscribeOnError; subscribeOnNext,BlockingObservable.forEach; forEach; subscribe,ForEach; Subscribe,subscribe,BlockingObservable.for_each; subscribe,subscribe,BlockingObservable.foreach; forEach; subscribe,subscribe
Buffer,http://reactivex.io/documentation/operators/buffer.html,Buffer,,buffer; pairwise,buffer,buffer,buffer,buffer; bufferWithCount; bufferWithTime; bufferWithTimeOrCount,buffer,Buffer,bufferWithCount,buffer; buffer_with_count; buffer_with_time; buffer_with_time_or_count; pairwise,buffer_with_count; buffer_with_time,slidingBuffer; tumblingBuffer,buffer
bufferWithCount,http://reactivex.io/documentation/operators/buffer.html,Buffer,,buffer; pairwise,buffer,buffer,buffer,buffer; bufferWithCount; bufferWithTime; bufferWithTimeOrCount,buffer,Buffer,bufferWithCount,buffer; buffer_with_count; buffer_with_time; buffer_with_time_or_count; pairwise,buffer_with_count; buffer_with_time,slidingBuffer; tumblingBuffer,buffer
bufferWithTime,http://reactivex.io/documentation/operators/buffer.html,Buffer,,buffer; pairwise,buffer,buffer,buffer,buffer; bufferWithCount; bufferWithTime; bufferWithTimeOrCount,buffer,Buffer,bufferWithCount,buffer; buffer_with_count; buffer_with_time; buffer_with_time_or_count; pairwise,buffer_with_count; buffer_with_time,slidingBuffer; tumblingBuffer,buffer
bufferWithTimeOrCount,http://reactivex.io/documentation/operators/buffer.html,Buffer,,buffer; pairwise,buffer,buffer,buffer,buffer; bufferWithCount; bufferWithTime; bufferWithTimeOrCount,buffer,Buffer,bufferWithCount,buffer; buffer_with_count; buffer_with_time; buffer_with_time_or_count; pairwise,buffer_with_count; buffer_with_time,slidingBuffer; tumblingBuffer,buffer
byLine,http://reactivex.io/documentation/operators/map.html,Map,keep; keep-indexed; map; map-indexed,map,byLine; cast; encode; map,byLine; cast; encode; map,cast; map,map; pluck; select,cast; map,Cast; Select,map; mapWithIndex; mapTo; select; pluck,map; pluck; select,map; map_with_index,map,map; mapWithIndex
cache,http://reactivex.io/documentation/operators/replay.html,Replay,cache,publish_synchronized; replay,replay; cache,cache; replay,cache; replay,replay; shareReplay,replay; cache,Replay,replay; shareReplay,replay,,replay; cache,replay; shareReplay
cacheWithInitialCapacity,http://reactivex.io/documentation/operators/replay.html,Replay,cache,publish_synchronized; replay,replay; cache,cache; replay,cache; replay,replay; shareReplay,replay; cache,Replay,replay; shareReplay,replay,,replay; cache,replay; shareReplay
case,http://reactivex.io/documentation/operators/defer.html,Defer,,defer,defer; ifThen; switchCase,defer; ifThen; switchCase,defer,case; defer; if; switchCase,defer; switchCase,Defer,defer,case; defer; if_then; switch_case,defer,defer,defer
Cast,http://reactivex.io/documentation/operators/map.html,Map,keep; keep-indexed; map; map-indexed,map,byLine; cast; encode; map,byLine; cast; encode; map,cast; map,map; pluck; select,cast; map,Cast; Select,map; mapWithIndex; mapTo; select; pluck,map; pluck; select,map; map_with_index,map,map; mapWithIndex
Catch,http://reactivex.io/documentation/operators/catch.html,Catch,catch*,,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,onErrorResumeNext; onErrorReturn; onErrorReturnItem; onExceptionResumeNext,catch; onErrorResumeNext,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,Catch; OnErrorResumeNext,catch,catch_exception; on_error_resume_next,on_error_resume_next; rescue_error,onErrorFlatMap; onErrorResumeNext; onErrorReturn; onExceptionResumeNext,catchError; catchErrorJustReturn
catchError,http://reactivex.io/documentation/operators/catch.html,Catch,catch*,,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,onErrorResumeNext; onErrorReturn; onErrorReturnItem; onExceptionResumeNext,catch; onErrorResumeNext,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,Catch; OnErrorResumeNext,catch,catch_exception; on_error_resume_next,on_error_resume_next; rescue_error,onErrorFlatMap; onErrorResumeNext; onErrorReturn; onExceptionResumeNext,catchError; catchErrorJustReturn
catchException,http://reactivex.io/documentation/operators/catch.html,Catch,catch*,,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,onErrorResumeNext; onErrorReturn; onErrorReturnItem; onExceptionResumeNext,catch; onErrorResumeNext,onErrorResumeNext; onErrorReturn; onExceptionResumeNext,Catch; OnErrorResumeNext,catch,catch_exception; on_error_resume_next,on_error_resume_next; rescue_error,onErrorFlatMap; onErrorResumeNext; onErrorReturn; onExceptionResumeNext,catchError; catchErrorJustReturn
collect,http://reactivex.io/documentation/operators/reduce.html,Reduce,into; iterate; reduce,iterate; reduce,collect; reduce,collect; reduce,collect; collectInto; reduce; reduceWith,reduce,collect; reduce,Aggregate,reduce,aggregate; expand; reduce,reduce,foldLeft; reduce,reduce
collect,http://reactivex.io/documentation/operators/filter.html,Filter,filter,filter,filter; ofType,filter; ofType,filter; ofType,filter; where,filter; ofType,OfType; Where,filter; where,filter; slice; where,select; select_with_index,collect; filter; filterNot; BlockingObservable.withFilter; withFilter,filter
collectInto,http://reactivex.io/documentation/operators/reduce.html,Reduce,into; iterate; reduce,iterate; reduce,collect; reduce,collect; reduce,collect; collectInto; reduce; reduceWith,reduce,collect; reduce,Aggregate,reduce,aggregate; expand; reduce,reduce,foldLeft; reduce,reduce
CombineLatest,http://reactivex.io/documentation/operators/combinelatest.html,CombineLatest,,combine_latest,combineLatest; withLatestFrom,combineLatest; withLatestFrom,combineLatest; combineLatestDelayError; withLatestFrom,combineLatest; withLatestFrom,combineLatest,CombineLatest,combineLatest; withLatestFrom,combine_latest; with_latest_from,combine_latest,combineLatest; combineLatestWith,combineLatest; withLatestFrom
combineLatestDelayError,http://reactivex.io/documentation/operators/combinelatest.html,CombineLatest,,combine_latest,combineLatest; withLatestFrom,combineLatest; withLatestFrom,combineLatest; combineLatestDelayError; withLatestFrom,combineLatest; withLatestFrom,combineLatest,CombineLatest,combineLatest; withLatestFrom,combine_latest; with_latest_from,combine_latest,combineLatest; combineLatestWith,combineLatest; withLatestFrom
combineLatestWith,http://reactivex.io/documentation/operators/combinelatest.html,CombineLatest,,combine_latest,combineLatest; withLatestFrom,combineLatest; withLatestFrom,combineLatest; combineLatestDelayError; withLatestFrom,combineLatest; withLatestFrom,combineLatest,CombineLatest,combineLatest; withLatestFrom,combine_latest; with_latest_from,combine_latest,combineLatest; combineLatestWith,combineLatest; withLatestFrom
Concat,http://reactivex.io/documentation/operators/concat.html,Concat,concat; concat*,concat,concat; concatWith,concat; concatWith,concat; concatArray; concatArrayDelayError; concatArrayEager; concatDelayError; concatEager; concatWith,concat; concatAll,concat; concatWith,Concat,concat; concatAll,concat; concatAll,concat; merge_all,concat; ++,concat
concat_all,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
concatAll,http://reactivex.io/documentation/operators/concat.html,Concat,concat; concat*,concat,concat; concatWith,concat; concatWith,concat; concatArray; concatArrayDelayError; concatArrayEager; concatDelayError; concatEager; concatWith,concat; concatAll,concat; concatWith,Concat,concat; concatAll,concat; concatAll,concat; merge_all,concat; ++,concat
concatArray,http://reactivex.io/documentation/operators/concat.html,Concat,concat; concat*,concat,concat; concatWith,concat; concatWith,concat; concatArray; concatArrayDelayError; concatArrayEager; concatDelayError; concatEager; concatWith,concat; concatAll,concat; concatWith,Concat,concat; concatAll,concat; concatAll,concat; merge_all,concat; ++,concat
concatArrayDelayError,http://reactivex.io/documentation/operators/concat.html,Concat,concat; concat*,concat,concat; concatWith,concat; concatWith,concat; concatArray; concatArrayDelayError; concatArrayEager; concatDelayError; concatEager; concatWith,concat; concatAll,concat; concatWith,Concat,concat; concatAll,concat; concatAll,concat; merge_all,concat; ++,concat
concatArrayEager,http://reactivex.io/documentation/operators/concat.html,Concat,concat; concat*,concat,concat; concatWith,concat; concatWith,concat; concatArray; concatArrayDelayError; concatArrayEager; concatDelayError; concatEager; concatWith,concat; concatAll,concat; concatWith,Concat,concat; concatAll,concat; concatAll,concat; merge_all,concat; ++,concat
concatDelayError,http://reactivex.io/documentation/operators/concat.html,Concat,concat; concat*,concat,concat; concatWith,concat; concatWith,concat; concatArray; concatArrayDelayError; concatArrayEager; concatDelayError; concatEager; concatWith,concat; concatAll,concat; concatWith,Concat,concat; concatAll,concat; concatAll,concat; merge_all,concat; ++,concat
concatEager,http://reactivex.io/documentation/operators/concat.html,Concat,concat; concat*,concat,concat; concatWith,concat; concatWith,concat; concatArray; concatArrayDelayError; concatArrayEager; concatDelayError; concatEager; concatWith,concat; concatAll,concat; concatWith,Concat,concat; concatAll,concat; concatAll,concat; merge_all,concat; ++,concat
concatMap,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
concatMapDelayError,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
concatMapEager,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
